Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,48,0.8521,0.9848039569081809,0.8490040482334278,0.011640798,0.00230137,0.150995952
FedAvg,TRUE,20,0,49,0.8522,0.9849871748512193,0.8492768085970377,0.010643015521064302,0.002106187,0.150723191
FedAvg,TRUE,20,0,50,0.8535,0.9850014373434439,0.850399396,0.011086474501108648,0.002192982,0.149600604
FedAvg,TRUE,20,0,51,0.8543,0.9852299542771756,0.8513687556564833,0.010643015521064302,0.002106187,0.148631244
FedAvg,TRUE,20,0,52,0.8546,0.9853576474736215,0.8517193561243804,0.010199556541019957,0.002019315,0.148280644
FedAvg,TRUE,20,0,53,0.8566,0.9854780504027728,0.853676223,0.010310421286031043,0.00204104,0.146323777
FedAvg,TRUE,20,0,54,0.8575,0.9856036057158922,0.8546675708347692,0.009201774,0.001823575,0.145332429
FedAvg,TRUE,20,0,55,0.8585,0.9858100524484357,0.8557857907571282,0.009977827,0.001975851,0.144214209
FedAvg,TRUE,20,0,56,0.8583,0.9857704717494589,0.8554211582492164,0.010643015521064302,0.002106187,0.144578842
FedAvg,TRUE,20,0,57,0.8596,0.9859747916987857,0.8568728987096452,0.010532150776053215,0.002084476,0.143127101
FedAvg,TRUE,20,0,58,0.8603,0.9862172176079657,0.8575108604162013,0.011419068736141907,0.002258029,0.14248914
FedAvg,TRUE,20,0,59,0.8607,0.9862520457390322,0.8580539935554757,0.011308204,0.002236352,0.141946006
FedAvg,TRUE,20,0,60,0.8608,0.98637172,0.8581164497447828,0.009977827,0.001975851,0.14188355
FedAvg,TRUE,20,0,61,0.8625,0.9864525226010882,0.8598942162580954,0.010753880266075388,0.002127893,0.140105784
FedAvg,TRUE,20,0,62,0.8622,0.9865816074298713,0.8596073108142939,0.011419068736141907,0.002258029,0.140392689
FedAvg,TRUE,20,0,63,0.8647,0.9866492110213138,0.8620271,0.009756098,0.001932367,0.1379729
FedAvg,TRUE,20,0,64,0.8649,0.9867768279075622,0.8623440840360683,0.010310421286031043,0.00204104,0.137655916
FedAvg,TRUE,20,0,65,0.8655,0.9867534730199423,0.8629833016954123,0.011197339246119735,0.002214669,0.137016698
FedAvg,TRUE,20,0,66,0.8669,0.9869640901643214,0.8645010199158885,0.009423503,0.001867106,0.13549898
FedAvg,TRUE,20,0,67,0.8656,0.9870015184604105,0.8630909478325506,0.010643015521064302,0.002106187,0.136909052
FedAvg,TRUE,20,0,68,0.8666,0.9870000507059643,0.8641435101223698,0.010310421286031043,0.00204104,0.13585649
FedAvg,TRUE,20,0,69,0.8675,0.9871141424269142,0.8649262518775579,0.010310421286031043,0.00204104,0.135073748
FedAvg,TRUE,20,0,70,0.8686,0.9871572347970401,0.8661607424449984,0.010421286031042129,0.002062761,0.133839258
FedAvg,TRUE,20,0,71,0.8687,0.9872945989833448,0.8663034405179669,0.010532150776053215,0.002084476,0.133696559
FedAvg,TRUE,20,0,72,0.8699,0.98738508,0.8675124246544363,0.010421286031042129,0.002062761,0.132487575
