Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,97,0.3081,0.7479303444444445,0.288204026,0.068777778,0.012870360744360121,0.711795974
FedAvg,TRUE,20,0,98,0.309,0.7480500333333333,0.29727575427145714,0.071555556,0.013355454168394856,0.702724246
FedAvg,TRUE,20,0,99,0.3083,0.7485647666666666,0.29524265726898047,0.059777778,0.011281191025372195,0.704757343
FedAvg,TRUE,20,0,100,0.3094,0.7492734888888889,0.29112484538904515,0.088888889,0.016326530612244896,0.708875155
FedAvg,TRUE,20,0.01,1,0.1322,0.5825071555555554,0.048775903,0.696,0.091194969,0.951224097
FedAvg,TRUE,20,0.01,2,0.1273,0.6160701722222223,0.055592735,0.8506666666666667,0.1021453730387448,0.944407265
FedAvg,TRUE,20,0.01,3,0.1353,0.6396667222222222,0.075924862,0.8627777777777778,0.11579182821354012,0.924075138
FedAvg,TRUE,20,0.01,4,0.1616,0.6576381833333333,0.10843413458188685,0.6546666666666666,0.098912168,0.891565865
FedAvg,TRUE,20,0.01,5,0.1481,0.6706881277777779,0.091273814,0.7985555555555556,0.12685664863338306,0.908726186
FedAvg,TRUE,20,0.01,6,0.1559,0.6804523944444444,0.096632653,0.6995555555555556,0.11760310818888224,0.903367347
FedAvg,TRUE,20,0.01,7,0.1759,0.6870348777777778,0.11616368352522125,0.6245555555555555,0.096111757,0.883836316
FedAvg,TRUE,20,0.01,8,0.2034,0.6936094777777777,0.14279644773365022,0.48277777777777775,0.081397527,0.857203552
FedAvg,TRUE,20,0.01,9,0.2124,0.6972130388888889,0.15539960456283364,0.3482222222222222,0.051656502,0.844600395
FedAvg,TRUE,20,0.01,10,0.2053,0.6996740999999999,0.15636374599719596,0.37477777777777777,0.054521943,0.843636254
FedAvg,TRUE,20,0.01,11,0.2224,0.702191211,0.18104686928544014,0.2911111111111111,0.045094664,0.818953131
FedAvg,TRUE,20,0.01,12,0.2367,0.7042887666666667,0.1939756712430686,0.2531111111111111,0.040397234,0.806024329
FedAvg,TRUE,20,0.01,13,0.2324,0.7063047222222223,0.19791677479773975,0.15455555555555556,0.026773169088634398,0.802083225
FedAvg,TRUE,20,0.01,14,0.2351,0.7072776388888891,0.1921897040584597,0.20133333333333334,0.033518312985571584,0.807810296
FedAvg,TRUE,20,0.01,15,0.2299,0.7083564166666667,0.18593366826645563,0.23822222222222222,0.038478105,0.814066332
FedAvg,TRUE,20,0.01,16,0.2395,0.7087602444444444,0.19058902317887005,0.19477777777777777,0.032604854459220685,0.809410977
FedAvg,TRUE,20,0.01,17,0.2496,0.7093893722222223,0.22638059070811783,0.12233333333333334,0.021799822,0.773619409
FedAvg,TRUE,20,0.01,18,0.2468,0.7103758888888889,0.2157637362798539,0.15122222222222223,0.026271595405848856,0.784236264
FedAvg,TRUE,20,0.01,19,0.2607,0.7106938833333334,0.24006516694919383,0.13766666666666666,0.024201582,0.759934833
FedAvg,TRUE,20,0.01,20,0.2635,0.7118188555555556,0.24004622995680974,0.12666666666666668,0.022485207100591716,0.75995377
FedAvg,TRUE,20,0.01,21,0.2695,0.7118485055555556,0.24708546186985436,0.088888889,0.016326530612244896,0.752914538
FedAvg,TRUE,20,0.01,22,0.2659,0.71261475,0.2352769045288919,0.11566666666666667,0.020734986555123992,0.764723095
FedAvg,TRUE,20,0.01,23,0.2624,0.7142759611111111,0.2350677026438154,0.1282222222222222,0.022729959,0.764932297
FedAvg,TRUE,20,0.01,24,0.264,0.7148673611111112,0.23934649263505325,0.1807777777777778,0.030620118565917002,0.760653507
FedAvg,TRUE,20,0.01,25,0.2694,0.7158271444444444,0.23507251900287152,0.144,0.025174825174825177,0.764927481
FedAvg,TRUE,20,0.01,26,0.2735,0.7164651611111111,0.2489664108194008,0.11488888888888889,0.020609926250747458,0.751033589
FedAvg,TRUE,20,0.01,27,0.2581,0.718089339,0.22648491591540623,0.12111111111111111,0.021605550049554015,0.773515084
FedAvg,TRUE,20,0.01,28,0.2674,0.7186378666666667,0.24761310048818252,0.11055555555555556,0.019909954977488743,0.7523869
FedAvg,TRUE,20,0.01,29,0.2721,0.7188613944444444,0.25005127721000253,0.13133333333333333,0.023217442545668827,0.749948723
FedAvg,TRUE,20,0.01,30,0.2781,0.7196048500000001,0.2523150992828742,0.11766666666666667,0.021055770951386818,0.747684901
FedAvg,TRUE,20,0.01,31,0.2699,0.7205911388888888,0.23821680489881722,0.1481111111111111,0.025800832284912416,0.761783195
FedAvg,TRUE,20,0.01,32,0.2812,0.7218096055555556,0.25512775553065176,0.11677777777777777,0.020913341956024276,0.744872244
FedAvg,TRUE,20,0.01,33,0.2787,0.7223959277777777,0.248220185,0.104,0.01884058,0.751779815
FedAvg,TRUE,20,0.01,34,0.2826,0.7231701777777778,0.25316692186473594,0.10111111111111111,0.018365288,0.746833078
FedAvg,TRUE,20,0.01,35,0.2821,0.7242408888888889,0.2549783409926051,0.098888889,0.017997978,0.745021659
FedAvg,TRUE,20,0.01,36,0.2789,0.7246163944444445,0.2518549103763198,0.13522222222222222,0.023823040031320346,0.74814509
FedAvg,TRUE,20,0.01,37,0.2896,0.7248307388888889,0.271879285,0.098777778,0.017979573263221763,0.728120715
FedAvg,TRUE,20,0.01,38,0.2818,0.7258273,0.25899534749639774,0.12077777777777778,0.021552493,0.741004653
FedAvg,TRUE,20,0.01,39,0.2866,0.7263010555555556,0.2682190310620636,0.10133333333333333,0.018401937046004842,0.731780969
FedAvg,TRUE,20,0.01,40,0.2868,0.7269207833333333,0.26004608946348795,0.094444444,0.017258883248730962,0.739953911
FedAvg,TRUE,20,0.01,41,0.2811,0.7279731222222223,0.2511178164716043,0.14255555555555555,0.024953807,0.748882184
FedAvg,TRUE,20,0.01,42,0.2878,0.7286107944444444,0.2653998718915516,0.11222222222222222,0.02017982,0.734600128
FedAvg,TRUE,20,0.01,43,0.2857,0.7293702055555554,0.2612722714155594,0.122,0.021746880570409983,0.738727729
FedAvg,TRUE,20,0.01,44,0.2841,0.7300789444444444,0.2573280952781406,0.11322222222222222,0.020341351432278672,0.742671905
FedAvg,TRUE,20,0.01,45,0.2868,0.7304495555555556,0.2627177009185754,0.12688888888888888,0.022520213,0.737282299
FedAvg,TRUE,20,0.01,46,0.2844,0.7315169555555555,0.25858342064898615,0.12111111111111111,0.021605550049554015,0.741416579
FedAvg,TRUE,20,0.01,47,0.2882,0.7316313222222223,0.2626469768310403,0.086888889,0.015988550398691473,0.737353023
FedAvg,TRUE,20,0.01,48,0.2898,0.7322266777777777,0.2657587252693442,0.099888889,0.018163450853621577,0.734241275
FedAvg,TRUE,20,0.01,49,0.2912,0.7325211500000001,0.26956125809062803,0.11577777777777777,0.020752838080063733,0.730438742
FedAvg,TRUE,20,0.01,50,0.289,0.7329715444444445,0.2654808833775451,0.11611111111111111,0.020806371329019413,0.734519117
FedAvg,TRUE,20,0.01,51,0.2946,0.7330084888888889,0.27774093539221945,0.10055555555555555,0.018273599192327107,0.722259065
FedAvg,TRUE,20,0.01,52,0.2949,0.7339112888888889,0.2783625833060593,0.10466666666666667,0.018949909474954736,0.721637417
FedAvg,TRUE,20,0.01,53,0.293,0.7345817222222222,0.27681866127180427,0.10744444444444444,0.019404033309922745,0.723181339
FedAvg,TRUE,20,0.01,54,0.2924,0.7353214888888889,0.2650452902760695,0.10011111111111111,0.018200182,0.73495471
FedAvg,TRUE,20,0.01,55,0.2948,0.7357252277777777,0.27154106180286214,0.10411111111111111,0.018858811,0.728458938
FedAvg,TRUE,20,0.01,56,0.2905,0.7365629111111112,0.26324777741185745,0.129,0.022852081488042516,0.736752223
FedAvg,TRUE,20,0.01,57,0.293,0.7371538055555555,0.264949597,0.12622222222222224,0.022415153906866613,0.735050403
FedAvg,TRUE,20,0.01,58,0.2929,0.7373141944444443,0.2659440811179794,0.11366666666666667,0.02041305,0.734055919
FedAvg,TRUE,20,0.01,59,0.2938,0.7380118833333333,0.26756913621577866,0.12433333333333334,0.022116809961458643,0.732430864
FedAvg,TRUE,20,0.01,60,0.2937,0.7380469888888888,0.27316147553012293,0.10066666666666667,0.018291944276196244,0.726838524
FedAvg,TRUE,20,0.01,61,0.2966,0.7384897055555556,0.27728530932101764,0.095444444,0.017425702,0.722714691
FedAvg,TRUE,20,0.01,62,0.2994,0.739203439,0.2805833505152858,0.10066666666666667,0.018291944276196244,0.719416649
FedAvg,TRUE,20,0.01,63,0.2966,0.7400739111111111,0.2722390218199347,0.11055555555555556,0.019909954977488743,0.727760978
FedAvg,TRUE,20,0.01,64,0.2954,0.7405744888888889,0.2694434958846549,0.11911111111111111,0.021286735504368545,0.730556504
FedAvg,TRUE,20,0.01,65,0.3004,0.7408559333333333,0.28053161347923594,0.10755555555555556,0.019422151,0.719468387
FedAvg,TRUE,20,0.01,66,0.3013,0.7416415888888888,0.2810710902647284,0.10377777777777777,0.018804107106905575,0.71892891
FedAvg,TRUE,20,0.01,67,0.3005,0.7418563111111112,0.2832883026110007,0.122,0.021746880570409983,0.716711697
FedAvg,TRUE,20,0.01,68,0.3003,0.7423776444444444,0.2805253464147077,0.098666667,0.017961165,0.719474654
FedAvg,TRUE,20,0.01,69,0.3002,0.7428082166666666,0.2809351210435424,0.12211111111111111,0.021764531141697196,0.719064879
FedAvg,TRUE,20,0.01,70,0.2996,0.7433531444444444,0.28046263653299813,0.088888889,0.016326530612244896,0.719537363
FedAvg,TRUE,20,0.01,71,0.3022,0.7431059722222222,0.2876288267494155,0.092333333,0.016905706,0.712371173
FedAvg,TRUE,20,0.01,72,0.3014,0.7441440944444444,0.277534457,0.10455555555555555,0.018931697,0.722465543
FedAvg,TRUE,20,0.01,73,0.3008,0.7442168944444445,0.2805374229899217,0.096444444,0.017592217267936767,0.719462577
FedAvg,TRUE,20,0.01,74,0.3007,0.7444662944444442,0.2781991091088904,0.11033333333333334,0.019873911738216753,0.721800891
FedAvg,TRUE,20,0.01,75,0.3007,0.7452149833333334,0.2808622662315964,0.10822222222222222,0.01953078,0.719137734
FedAvg,TRUE,20,0.01,76,0.3045,0.7453185166666667,0.2871000235571282,0.10988888888888888,0.019801781960156174,0.712899976
FedAvg,TRUE,20,0.01,77,0.3073,0.7456210166666667,0.2931489341901842,0.089111111,0.016364007345439708,0.706851066
FedAvg,TRUE,20,0.01,78,0.3047,0.7463383499999999,0.28523788258135185,0.094777778,0.017314523495382116,0.714762117
FedAvg,TRUE,20,0.01,79,0.3045,0.7466183999999999,0.2845745477224903,0.098555556,0.017942753110144635,0.715425452
FedAvg,TRUE,20,0.01,80,0.3068,0.7469891666666667,0.28932931581251836,0.090222222,0.016551161842641663,0.710670684
FedAvg,TRUE,20,0.01,81,0.3048,0.7474696388888888,0.28373108301642347,0.099333333,0.018071559,0.716268917
FedAvg,TRUE,20,0.01,82,0.3069,0.7475223055555555,0.2907244656924738,0.107,0.019331527,0.709275534
FedAvg,TRUE,20,0.01,83,0.3059,0.7482354000000001,0.2866749140921975,0.10877777777777778,0.019621204529511976,0.713325086
